product_id,product_name,category,brand,unit_price
P00001,Vitamins Product 1,Vitamins & Supplements,Doyle Ltd,9.08
P00002,Diagnostics Product 2,Diagnostics,Galloway-Wyatt,3.57
P00003,Maternal Product 3,Maternal & Baby,Garcia-James,5.46
P00004,Vitamins Product 4,Vitamins & Supplements,"Dyer, Potter and Mack",4.82
P00005,Vitamins Product 5,Vitamins & Supplements,"Baker, Mason and White",14.68
P00006,Medical Product 6,Medical Supplies,"Mcclain, Miller and Henderson",5.31
P00007,Medicines Product 7,Medicines,"Gardner, Robinson and Lawrence",11.01
P00008,Maternal Product 8,Maternal & Baby,Williams and Sons,36.9
P00009,Medicines Product 9,Medicines,Rodriguez-Graham,20.29
P00010,Maternal Product 10,Maternal & Baby,"Dyer, Potter and Mack",5.2
P00011,Medical Product 11,Medical Supplies,Williams and Sons,5.6
P00012,Nutrition Product 12,Nutrition,"Baker, Mason and White",10.64
P00013,Diagnostics Product 13,Diagnostics,"Rodriguez, Figueroa and Sanchez",1.94
P00014,Hygiene Product 14,Hygiene,"Hoffman, Baker and Richards",3.71
P00015,Personal Product 15,Personal Care,"Flowers, Martin and Kelly",10.96
P00016,Hygiene Product 16,Hygiene,"Mcclure, Ward and Lee",6.69
P00017,Personal Product 17,Personal Care,Blake and Sons,34.75
P00018,Vitamins Product 18,Vitamins & Supplements,"Walter, Edwards and Rios",4.51
P00019,Vitamins Product 19,Vitamins & Supplements,Perez Inc,3.2
P00020,Personal Product 20,Personal Care,Harrell LLC,3.63
P00021,Diagnostics Product 21,Diagnostics,"Mcclain, Miller and Henderson",7.47
P00022,Nutrition Product 22,Nutrition,"Dyer, Potter and Mack",6.5
P00023,Vitamins Product 23,Vitamins & Supplements,"Walter, Edwards and Rios",44.0
P00024,Vitamins Product 24,Vitamins & Supplements,Rodriguez-Graham,5.37
P00025,Diagnostics Product 25,Diagnostics,"Romero, Gonzalez and Brooks",7.72
P00026,Personal Product 26,Personal Care,Smith-Bowen,14.99
P00027,Maternal Product 27,Maternal & Baby,"Guzman, Hoffman and Baldwin",6.78
P00028,Medicines Product 28,Medicines,Williams and Sons,11.52
P00029,Diagnostics Product 29,Diagnostics,"Gardner, Robinson and Lawrence",10.13
P00030,Maternal Product 30,Maternal & Baby,Blake and Sons,14.44
P00031,Medical Product 31,Medical Supplies,"Flowers, Martin and Kelly",2.4
P00032,Nutrition Product 32,Nutrition,Morales-Jones,14.1
P00033,Hygiene Product 33,Hygiene,Morales-Jones,6.62
P00034,Personal Product 34,Personal Care,"Mcclure, Ward and Lee",8.58
P00035,Diagnostics Product 35,Diagnostics,"Guzman, Hoffman and Baldwin",5.42
P00036,Hygiene Product 36,Hygiene,"Dyer, Potter and Mack",27.86
P00037,Maternal Product 37,Maternal & Baby,Blair PLC,1.44
P00038,Nutrition Product 38,Nutrition,"Walter, Edwards and Rios",22.63
P00039,Diagnostics Product 39,Diagnostics,Rodriguez-Graham,4.29
P00040,Maternal Product 40,Maternal & Baby,Gray-Mayo,25.11
P00041,Medicines Product 41,Medicines,Williams and Sons,19.63
P00042,Medicines Product 42,Medicines,Gray-Mayo,16.64
P00043,Medical Product 43,Medical Supplies,"Flowers, Martin and Kelly",14.33
P00044,Vitamins Product 44,Vitamins & Supplements,"Mcclure, Ward and Lee",45.29
P00045,Personal Product 45,Personal Care,"Mcclure, Ward and Lee",4.59
P00046,Nutrition Product 46,Nutrition,Wilkerson-Day,4.64
P00047,Nutrition Product 47,Nutrition,Abbott-Munoz,4.37
P00048,Diagnostics Product 48,Diagnostics,Garcia-James,15.49
P00049,Maternal Product 49,Maternal & Baby,Rodriguez-Graham,2.61
P00050,Diagnostics Product 50,Diagnostics,"Baker, Mason and White",16.59
P00051,Medical Product 51,Medical Supplies,"Baker, Mason and White",5.87
P00052,Medical Product 52,Medical Supplies,Morales-Jones,3.15
P00053,Maternal Product 53,Maternal & Baby,Garcia-James,3.12
P00054,Nutrition Product 54,Nutrition,"Gardner, Robinson and Lawrence",3.91
P00055,Medicines Product 55,Medicines,"Henderson, Ramirez and Lewis",2.25
P00056,Hygiene Product 56,Hygiene,Blair PLC,11.15
P00057,Medical Product 57,Medical Supplies,Harrell LLC,14.61
P00058,Vitamins Product 58,Vitamins & Supplements,"Walter, Edwards and Rios",15.91
P00059,Medical Product 59,Medical Supplies,Harrell LLC,4.48
P00060,Nutrition Product 60,Nutrition,Frazier Inc,9.45
P00061,Diagnostics Product 61,Diagnostics,Rodriguez-Graham,7.42
P00062,Medicines Product 62,Medicines,"Henderson, Ramirez and Lewis",12.85
P00063,Diagnostics Product 63,Diagnostics,"Watts, Robinson and Nguyen",10.55
P00064,Vitamins Product 64,Vitamins & Supplements,"Adams, Zuniga and Wong",7.94
P00065,Medical Product 65,Medical Supplies,Blair PLC,1.67
P00066,Nutrition Product 66,Nutrition,"Rodriguez, Figueroa and Sanchez",6.47
P00067,Diagnostics Product 67,Diagnostics,"Ferrell, Rice and Maddox",8.07
P00068,Hygiene Product 68,Hygiene,"Ferrell, Rice and Maddox",4.24
P00069,Vitamins Product 69,Vitamins & Supplements,"Reid, Ferguson and Sanchez",5.96
P00070,Maternal Product 70,Maternal & Baby,Abbott-Munoz,2.61
P00071,Personal Product 71,Personal Care,Blair PLC,5.72
P00072,Medicines Product 72,Medicines,Harrell LLC,11.08
P00073,Personal Product 73,Personal Care,Carlson-Cruz,39.3
P00074,Medicines Product 74,Medicines,"Henderson, Ramirez and Lewis",3.29
P00075,Personal Product 75,Personal Care,"Reid, Ferguson and Sanchez",7.25
