store_id,store_name,country,store_size
S0001,New Stephanie Store 1,India,Small
S0002,New Mariotown Store 2,Brazil,Small
S0003,West Natashaport Store 3,Nigeria,Small
S0004,North John Store 4,India,Large
S0005,North Jessicaland Store 5,Mexico,Small
S0006,East Donna Store 6,Indonesia,Medium
S0007,West Allison Store 7,United States,Small
S0008,Brandtside Store 8,India,Small
S0009,Lake Larry Store 9,Nigeria,Large
S0010,Samuelhaven Store 10,Indonesia,Small
S0011,Martinezbury Store 11,Mexico,Small
S0012,West Andrewside Store 12,Mexico,Medium
S0013,New Jeffrey Store 13,Nigeria,Medium
S0014,Lake Crystalbury Store 14,Indonesia,Medium
S0015,North Micheleland Store 15,United States,Small
S0016,West Elizabeth Store 16,United Kingdom,Medium
S0017,New David Store 17,Brazil,Small
S0018,Sanchezfort Store 18,Nigeria,Medium
S0019,Leeville Store 19,India,Small
S0020,Gomezchester Store 20,United Kingdom,Small
