transaction_id,transaction_date,customer_id,store_id,product_id,quantity,unit_price,total_amount,promotion,payment_method
T00000001,2023-02-02 11:41:46,C000092,S0001,P00081,1,8.73,8.73,False,cash
T00000002,2023-10-09 17:16:48,C000147,S0019,P00106,5,6.11,30.55,False,card
T00000003,2023-08-27 06:20:13,C000444,S0012,P00053,3,2.94,8.82,False,cash
T00000004,2023-06-09 18:02:31,C000136,S0011,P00075,5,6.99,34.95,False,cash
T00000005,2023-06-07 14:49:16,C000452,S0011,P00053,3,2.9,8.7,False,cash
T00000006,2023-11-09 12:42:41,C000410,S0006,P00113,2,4.04,8.08,True,card
T00000007,2023-02-01 06:49:16,C000246,S0008,P00115,4,2.81,11.24,False,cash
T00000008,2023-09-11 20:12:26,C000262,S0007,P00032,1,13.41,13.41,False,insurance
T00000009,2023-03-15 08:02:16,C000102,S0003,P00028,1,11.99,11.99,False,mobile
T00000010,2023-02-04 06:44:00,C000461,S0005,P00001,1,8.88,8.88,False,cash
T00000011,2023-07-11 15:19:13,C000118,S0019,P00179,1,2.28,2.28,False,card
T00000012,2023-12-22 03:02:13,C000258,S0001,P00028,3,11.79,35.37,False,mobile
T00000013,2023-09-25 19:31:58,C000377,S0016,P00129,2,23.26,46.52,False,card
T00000014,2023-10-05 01:18:59,C000170,S0006,P00048,1,16.24,16.24,False,mobile
T00000015,2023-09-19 03:52:54,C000473,S0008,P00056,3,9.84,29.52,True,cash
T00000016,2023-10-14 03:03:28,C000035,S0017,P00153,5,3.14,15.7,False,mobile
T00000017,2023-07-06 19:32:50,C000101,S0005,P00018,2,4.44,8.88,False,cash
T00000018,2023-02-16 15:12:02,C000265,S0009,P00192,1,14.79,14.79,False,cash
T00000019,2023-11-02 16:02:26,C000420,S0004,P00118,1,6.06,6.06,False,insurance
T00000020,2023-06-13 22:34:18,C000398,S0010,P00128,1,4.01,4.01,True,mobile
T00000021,2023-07-02 03:04:28,C000165,S0011,P00166,3,4.5,13.5,False,cash
T00000022,2023-05-15 23:17:29,C000174,S0004,P00188,1,1.6,1.6,True,mobile
T00000023,2023-03-08 10:45:13,C000411,S0006,P00188,1,2.17,2.17,False,card
T00000024,2023-12-04 08:13:09,C000130,S0010,P00030,4,15.04,60.16,False,insurance
T00000025,2023-10-12 11:46:24,C000212,S0008,P00056,1,11.0,11.0,False,mobile
T00000026,2023-08-23 08:48:21,C000329,S0018,P00027,1,6.95,6.95,False,mobile
T00000027,2023-05-27 11:29:31,C000347,S0001,P00191,1,6.36,6.36,False,mobile
T00000028,2023-10-27 11:38:44,C000012,S0003,P00043,1,12.92,12.92,False,cash
T00000029,2023-07-18 12:52:08,C000354,S0007,P00140,2,11.11,22.22,False,card
T00000030,2023-06-11 09:39:59,C000493,S0018,P00014,2,3.56,7.12,False,card
T00000031,2023-06-13 23:12:53,C000500,S0003,P00157,1,40.55,40.55,False,insurance
T00000032,2023-03-24 17:09:27,C000227,S0016,P00068,1,4.54,4.54,False,card
T00000033,2023-02-03 12:53:57,C000114,S0005,P00105,1,3.69,3.69,False,cash
T00000034,2023-07-21 20:51:10,C000071,S0012,P00122,1,13.68,13.68,False,cash
T00000035,2023-11-20 04:36:21,C000100,S0005,P00009,2,18.21,36.42,False,insurance
T00000036,2023-01-24 05:30:27,C000219,S0008,P00139,1,4.06,4.06,False,card
T00000037,2023-11-09 10:01:58,C000314,S0011,P00011,2,5.56,11.12,False,mobile
T00000038,2023-10-29 06:11:10,C000355,S0002,P00138,1,1.34,1.34,False,insurance
T00000039,2023-04-11 17:46:21,C000276,S0003,P00106,1,6.32,6.32,False,insurance
T00000040,2023-08-18 22:13:13,C000158,S0009,P00124,1,4.91,4.91,True,card
T00000041,2023-03-02 03:26:28,C000219,S0017,P00182,1,16.03,16.03,False,mobile
T00000042,2023-10-03 22:39:16,C000343,S0016,P00080,3,15.52,46.56,False,insurance
T00000043,2023-09-12 23:46:07,C000145,S0013,P00068,4,4.39,17.56,False,insurance
T00000044,2023-05-10 01:08:20,C000454,S0005,P00111,1,6.55,6.55,False,card
T00000045,2023-01-25 17:20:56,C000337,S0002,P00183,1,7.9,7.9,False,cash
T00000046,2023-12-20 08:01:05,C000285,S0014,P00056,1,10.66,10.66,False,cash
T00000047,2023-06-12 05:31:33,C000150,S0002,P00112,1,6.98,6.98,False,card
T00000048,2023-11-22 02:18:22,C000222,S0004,P00058,10,16.05,160.5,False,insurance
T00000049,2023-09-04 18:18:02,C000067,S0012,P00198,4,2.9,11.6,False,insurance
T00000050,2023-10-11 07:57:30,C000481,S0015,P00184,1,5.16,5.16,False,insurance
T00000051,2023-10-04 14:28:54,C000474,S0016,P00013,2,2.05,4.1,False,cash
T00000052,2023-03-12 20:21:49,C000042,S0013,P00179,1,2.14,2.14,False,cash
T00000053,2023-05-13 11:04:59,C000339,S0016,P00134,3,3.93,11.79,False,mobile
T00000054,2023-06-19 21:16:29,C000122,S0006,P00049,5,2.58,12.9,False,mobile
T00000055,2023-07-01 04:42:25,C000183,S0009,P00177,2,10.26,20.52,True,card
T00000056,2023-01-16 22:40:10,C000149,S0006,P00182,10,13.82,138.2,False,mobile
